Date,Actual,Predictions,County_Name
2021-09-04,-3.443539520299711,-3.7709704253108214,Kent County (Rhode Island)
2021-09-05,-3.4500549741417927,-3.805037214327175,Kent County (Rhode Island)
2021-09-06,-3.4560410473592054,-3.8392795038935894,Kent County (Rhode Island)
2021-09-07,-3.459176609520707,-3.873918719937709,Kent County (Rhode Island)
2021-09-08,-3.462963717066417,-3.90904890013745,Kent County (Rhode Island)
2021-09-09,-3.466262165573971,-3.944597329311633,Kent County (Rhode Island)
2021-09-10,-3.474528647636112,-3.9806870218645054,Kent County (Rhode Island)
2021-09-11,-3.480148226574907,-4.0172425289614635,Kent County (Rhode Island)
2021-09-12,-3.4889848108482306,-4.052721523338582,Kent County (Rhode Island)
2021-09-13,-3.4947672761330786,-4.088721552059026,Kent County (Rhode Island)
2021-09-14,-3.498350775746223,-4.125269404926386,Kent County (Rhode Island)
2021-09-15,-3.502056440118907,-4.162329544446103,Kent County (Rhode Island)
2021-09-16,-3.510363643767561,-4.199957190417416,Kent County (Rhode Island)
2021-09-17,-3.5161053874658954,-4.238149062456213,Kent County (Rhode Island)
2021-09-18,-3.5238017673168542,-4.27693851113431,Kent County (Rhode Island)
2021-09-19,-3.5309280449566316,-4.31639059740329,Kent County (Rhode Island)
2021-09-20,-3.5376878283177913,-4.356487279150527,Kent County (Rhode Island)
2021-09-21,-3.5416378222095535,-4.396701507995157,Kent County (Rhode Island)
2021-09-22,-3.546239361485523,-4.437440598297911,Kent County (Rhode Island)
2021-09-23,-3.57405220507391,-4.478765237164885,Kent County (Rhode Island)
2021-09-24,-3.5804047725699393,-4.52069838728487,Kent County (Rhode Island)
2021-09-25,-3.586309402614326,-4.563262464615976,Kent County (Rhode Island)
2021-08-26,-11.52750743168954,-11.680991994733652,New Castle County (Delaware)
2021-08-27,-11.554872337826282,-11.71509247038163,New Castle County (Delaware)
2021-08-28,-11.555483161623977,-11.75034377103268,New Castle County (Delaware)
2021-08-29,-11.578735187522906,-11.786414092313866,New Castle County (Delaware)
2021-08-30,-11.602109378181375,-11.823137143509014,New Castle County (Delaware)
2021-08-31,-11.63330211345034,-11.860457753399206,New Castle County (Delaware)
2021-09-01,-11.63493097691086,-11.898295107804618,New Castle County (Delaware)
2021-09-02,-11.683023170582725,-11.936664747913676,New Castle County (Delaware)
2021-09-03,-11.70554220792442,-11.975421363614585,New Castle County (Delaware)
2021-09-04,-11.706845298692837,-12.014472484836197,New Castle County (Delaware)
2021-09-05,-11.721545791424035,-12.05394554932362,New Castle County (Delaware)
2021-09-06,-11.739056073624628,-12.093664164588201,New Castle County (Delaware)
2021-09-07,-11.740481329152583,-12.133674954195222,New Castle County (Delaware)
2021-09-08,-11.774565297063974,-12.174082044107147,New Castle County (Delaware)
2021-09-09,-11.77627560369752,-12.214750225984657,New Castle County (Delaware)
2021-09-10,-11.79818381724152,-12.255946808268709,New Castle County (Delaware)
2021-09-11,-11.799486908009936,-12.297430902538672,New Castle County (Delaware)
2021-09-12,-11.800504947672762,-12.33933927125271,New Castle County (Delaware)
2021-09-13,-11.855356924705786,-12.381606641419427,New Castle County (Delaware)
2021-09-14,-11.869853809504418,-12.424030977589263,New Castle County (Delaware)
2021-09-15,-11.872012053589607,-12.466826748162521,New Castle County (Delaware)
2021-09-16,-11.927800627112433,-12.50987584010715,New Castle County (Delaware)
2021-09-17,-11.92910371788085,-12.553342990020482,New Castle County (Delaware)
2021-09-18,-11.93032536547624,-12.59692514472818,New Castle County (Delaware)
2021-09-19,-11.931261961966038,-12.640810352610217,New Castle County (Delaware)
2021-09-20,-11.932320723215376,-12.684978410121637,New Castle County (Delaware)
2021-09-21,-11.932605774320967,-12.728566781304707,New Castle County (Delaware)
2021-09-22,-11.99539846072403,-12.772486179801284,New Castle County (Delaware)
2021-09-23,-11.997597426395732,-12.816738159730214,New Castle County (Delaware)
2021-09-24,-12.035753552958424,-12.86131961285381,New Castle County (Delaware)
2021-09-25,-12.036893757380788,-12.906236755647445,New Castle County (Delaware)
2021-08-26,-1.2270635663965468,-1.2034066727501505,Newport County (Rhode Island)
2021-08-27,-1.230932117115283,-1.208176975773159,Newport County (Rhode Island)
2021-08-28,-1.2363073665350002,-1.213188196258193,Newport County (Rhode Island)
2021-08-29,-1.2387913833122939,-1.218215477907362,Newport County (Rhode Island)
2021-08-30,-1.239035712831372,-1.2232353467115455,Newport County (Rhode Island)
2021-08-31,-1.2413161216761006,-1.228232976980773,Newport County (Rhode Island)
2021-09-01,-1.2441666327320111,-1.2332407655931283,Newport County (Rhode Island)
2021-09-02,-1.2472207517204872,-1.2383693561237643,Newport County (Rhode Island)
2021-09-03,-1.2490532231135725,-1.2436968579948418,Newport County (Rhode Island)
2021-09-04,-1.2528403306592826,-1.2491709694667414,Newport County (Rhode Island)
2021-09-05,-1.254876409984933,-1.2547049327981528,Newport County (Rhode Island)
2021-09-06,-1.2562202223398624,-1.2602544081940703,Newport County (Rhode Island)
2021-09-07,-1.2573197051757137,-1.2658104727855308,Newport County (Rhode Island)
2021-09-08,-1.258419188011565,-1.2713399060450068,Newport County (Rhode Island)
2021-09-09,-1.2601702162316242,-1.2768541017897905,Newport County (Rhode Island)
2021-09-10,-1.2626135114224049,-1.2823298605605755,Newport County (Rhode Island)
2021-09-11,-1.2647310339210818,-1.2877648486839415,Newport County (Rhode Island)
2021-09-12,-1.2674593802174532,-1.2925369362807428,Newport County (Rhode Island)
2021-09-13,-1.270839271898033,-1.2973146521487364,Newport County (Rhode Island)
2021-09-14,-1.2718165899743452,-1.3021386296604356,Newport County (Rhode Island)
2021-09-15,-1.273649061367431,-1.307000906871226,Newport County (Rhode Island)
2021-09-16,-1.2778026631917578,-1.311899973757129,Newport County (Rhode Island)
